SHC&BCCWJ	Earlier	Later	Compare
結構	2.512820513	2.675	1.875
モデル	2.725	2.65	2.289473684
迚も	2.897435897	2.842105263	2.564102564
旨い	2.473684211	3.075	2.641025641
適当	3.075	2.625	2.75
普通	2.775	2.925	2.8
合計	3	2.974358974	2.825
主張	3.125	3.025	2.9
椅子	3	3.078947368	2.921052632
優勝	3.075	3.461538462	2.948717949
警戒	2.975	3	3
遺憾	3.205128205	3.315789474	3
英語	3.2	3.35	3.15
電車	3.075	3.225	3.153846154
写真	3.051282051	3.3	3.225
免許	2.974358974	3.25	3.275
教授	3.325	3.4	3.325
翌日	3.55	3.3	3.325
林檎	3.179487179	2.842105263	3.333333333
症状	3.05	3.5	3.375